station_id,latitude,longitude
21413,30.487,152.124
21414,48.97,178.165
21415,50.12,171.867
21416,48.126,163.355
21419,44.401,155.653
21420,28.98,134.973
23223,17.333,89.483
23228,20.764,65.284
23401,8.86,88.55
23461,9.534,95.669
32402,-26.743,-73.983
32403,-23.163,-72.037
32404,-32.13,-73.797
32413,-7.432,-93.464
34420,-35.758,-75.243
41420,23.433,-67.386
41425,28.639,-65.774
42407,15.276,-68.191
42409,25.799,-89.291
43412,16.02,-107.0
43413,10.927,-100.012
44402,39.314,-70.717
44403,41.928,-61.664
46403,52.654,-156.813
46404,45.852,-128.745
46407,42.704,-128.895
46409,55.338,-148.575
46410,57.649,-143.769
46411,39.337,-127.04
46413,48.045,-173.897
46414,53.756,-152.456
46415,53.035,-139.884
46416,49.939,-134.427
46419,48.815,-129.623
51407,19.53,-156.601
51425,-9.511,-176.258
52402,11.928,153.876
52403,4.018,145.628
52405,12.992,132.232
52406,-5.374,164.99
55012,-15.664,158.453
55015,-46.956,160.343
55023,-14.715,153.537
56003,-15.019,118.073
3202520,-4.148,-89.008
5401000,-38.2,-179.797
5401001,-36.049,-177.708
5401002,-29.683,-175.012
5401003,-23.352,-173.402
5401004,-20.088,-171.863
5401005,-16.889,-171.191
5501002,-42.371,176.911
5501004,-36.1,178.604
5501005,-26.667,163.955
5501006,-24.309,169.499
